1249,-1.136719,0.265625,-1.041016,4.736102,-15.614434,-6.480981
0,-1.163086,0.238281,-1.051758,4.81493,-15.695393,-6.593897
2497,-1.118164,0.285156,-1.030273,4.659403,-15.50791,-6.359542
3746,-1.087891,0.293945,-1.024414,4.667925,-15.38221,-6.250887
4996,-0.972656,0.323242,-0.963867,4.72758,-15.226684,-6.165667
6243,-0.904297,0.388672,-0.956055,4.725449,-15.032808,-6.078316
7492,-0.869141,0.456055,-0.987305,4.638098,-14.843193,-5.96327
8741,-0.874023,0.49707,-1.038086,4.544357,-14.69832,-5.782177
9989,-0.898438,0.543945,-1.131836,4.486833,-14.574751,-5.5393
11238,-0.869141,0.558594,-1.169922,4.478311,-14.474617,-5.28364
